Inventarisnr.,,,Inv.srt,,Omschrijving,,Terminal-ID,,Straat,Thv,CBS,Wijk,Sector A,Sector B,Sector C,,Sector D,X-Coord.,Y-Coord.,Voeding,ICS,Online,Type,ESN no,Cr Callno,Sleutel,GSM,Deelgem.,Deelgem niveau,Man nr,Status,Mutdatum,Door user,Inv.status
FT170,,,FT,,Fietstrommel,,,,ROCHUSSENSTR,31,,,,,,,,51.915470123291,4.47036981582642,,,,,,,,,Centrum,,,A,08-07-2010,STREPE,
FT171,,,FT,,Fietstrommel,,,,ROCHUSSENSTR,33,,,,,,,,51.9153900146484,4.470290184021,,,,,,,,,Centrum,,,A,08-07-2010,BEHEER-STZ,
FT172,,,FT,,Fietstrommel,,,,ROCHUSSENSTR,35,,,,,,,,51.9153099060059,4.47022008895874,,,,,,,,,Centrum,,,A,08-07-2010,STREPE,
FT173,,,FT,,Fietstrommel,,,,KRALINGSE PLASLN,,,,,,,,,,,,,,,,,,,Kralingen/Crooswijk,,,A,08-07-2010,BEHEER-STZ,
FT174,,,FT,,Fietstrommel,,,,2E JERICHOSTR,15,,,,,,,,51.9306488037109,4.50764989852905,,,,,,,,,Kralingen/Crooswijk,,,A,08-07-2010,STREPE,
FT175,,,FT,,Fietstrommel,,,,2E JERICHOSTR,15,,,,,,,,51.9306488037109,4.50765991210938,,,,,,,,,Kralingen/Crooswijk,,,A,08-07-2010,BEHEER-STZ,
FT176,,,FT,,Fietstrommel,,,,JERICHOLN,95,,,,,,,,51.9296684265137,4.50601005554199,,,,,,,,,Kralingen/Crooswijk,,,A,08-07-2010,STREPE,
FT177,,,FT,,Fietstrommel,,,,WOLPHAERTSBOCHT,355,,,,,,,,51.8924407958984,4.48064994812012,,,,,,,,,Charlois,,,A,08-07-2010,BEHEER-STZ,
FT178,,,FT,,Fietstrommel,,,,MYNSHERENLN,123,,,,,,,,51.8933982849121,4.49072980880737,,,,,,,,,Charlois,,,A,08-07-2010,STREPE,
FT179,,,FT,,Fietstrommel,,,,BOERGOENSESTR,56,,,,,,,,51.892578125,4.47289991378784,,,,,,,,,Charlois,,,A,08-07-2010,BEHEER-STZ,
FT18,,,FT,,Fietstrommel,,,,PUTSEBOCHT,135A,,,,,,,,51.8936805725098,4.49654006958008,,,,,,,,,Feijenoord,,,A,06-07-2010,STREPE,
FT180,,,FT,,Fietstrommel,,,,STREVELSWG,134,,,,,,,,51.8895301818848,4.50036001205444,,,,,,,,,Feijenoord,,,A,08-07-2010,STREPE,
FT181,,,FT,,Fietstrommel,,,,RANDWG,106,,,,,,,,51.8916091918945,4.51311016082764,,,,,,,,,Feijenoord,,,A,03-01-2012,OOMEBE,
FT182,,,FT,,Fietstrommel,,,,RANDWG,136,,,,,,,,51.8908309936523,4.51417016983032,,,,,,,,,Feijenoord,,,A,08-07-2010,STREPE,
FT183,,,FT,,Fietstrommel,,,,HILLEDK,265,,,,,,,,51.8985710144043,4.50933980941772,,,,,,,,,Feijenoord,,,A,08-07-2010,BEHEER-STZ,
FT184,,,FT,,Fietstrommel,,,,VD TAKSTR,35,,,,,,,,51.9143791198731,4.49561023712158,,,,,,,,,Feijenoord,,,A,08-07-2010,STREPE,
FT185,,,FT,,Fietstrommel,,,,PR HENDRIKKD,114,,,,,,,,51.9117202758789,4.49388980865479,,,,,,,,,Feijenoord,,,A,08-07-2010,BEHEER-STZ,
FT186,,,FT,,Fietstrommel,,,,PR HENDRIKKD,114,,,,,,,,51.9117202758789,4.49389982223511,,,,,,,,0630736977,Feijenoord,,,A,08-07-2010,STREPE,
